id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass
Auto_1604,213.48,1090.61,213.52,1090.59,142.76089,43.78487,09h31m02.61s,+43d47m05.5s,96.0,743.000,970.235,187.986,5.16,-7.467,0.210,16.229,0.238,1.1095
Auto_1605,6037.73,239.85,6037.70,239.81,145.15017,45.26318,09h40m36.04s,+45d15m47.5s,63.0,740.000,874.309,188.638,4.63,-7.354,0.234,16.342,0.260,1.1095
Auto_1606,360.18,2399.94,360.21,2399.94,143.20589,43.39607,09h32m49.41s,+43d23m45.8s,94.0,740.000,1023.107,188.457,5.43,-7.525,0.200,16.172,0.229,1.1095
Auto_1607,4731.07,3573.37,4731.26,3573.49,145.49697,43.91371,09h41m59.27s,+43d54m49.4s,63.0,739.000,804.119,189.482,4.24,-7.263,0.256,16.433,0.279,1.1095
Auto_1608,563.53,2298.64,563.60,2298.65,143.26623,43.47104,09h33m03.89s,+43d28m15.7s,84.0,736.000,1101.396,188.434,5.84,-7.605,0.186,16.092,0.217,1.1095
Auto_1609,271.66,140.55,271.65,140.53,142.50834,44.10064,09h30m02.00s,+44d06m02.3s,87.0,735.000,1092.664,188.284,5.80,-7.596,0.187,16.100,0.218,1.1095
Auto_1610,3954.23,101.44,3954.33,101.33,144.15345,44.88504,09h36m36.83s,+44d53m06.1s,65.0,734.000,979.246,188.323,5.20,-7.477,0.209,16.219,0.237,1.1095
Auto_1611,2091.70,2537.62,2091.69,2537.72,144.01449,43.71173,09h36m03.48s,+43d42m42.2s,73.0,734.000,1128.986,187.825,6.01,-7.632,0.181,16.065,0.213,1.1095
Auto_1612,2034.58,2441.48,2034.58,2441.55,143.96135,43.73100,09h35m50.72s,+43d43m51.6s,60.0,733.000,1141.278,188.363,6.06,-7.643,0.179,16.053,0.211,1.1095
Auto_1613,1264.77,689.14,1264.77,689.14,143.10956,44.13510,09h32m26.29s,+44d08m06.3s,89.0,732.000,979.455,188.010,5.21,-7.477,0.208,16.219,0.237,1.1095
Auto_1614,2203.35,972.18,2203.38,972.16,143.61260,44.24078,09h34m27.02s,+44d14m26.8s,81.0,731.000,1019.136,187.495,5.44,-7.521,0.200,16.176,0.229,1.1095
Auto_1615,6176.98,1404.05,6177.11,1404.05,145.54696,44.91232,09h42m11.27s,+44d54m44.4s,58.0,731.000,761.810,189.157,4.03,-7.205,0.270,16.492,0.292,1.1095
Auto_1616,664.78,1228.65,664.78,1228.64,143.00040,43.83573,09h32m00.10s,+43d50m08.6s,94.0,731.000,948.027,187.617,5.05,-7.442,0.215,16.254,0.242,1.1095
Auto_1617,2923.30,3689.08,2923.42,3689.09,144.71427,43.50937,09h38m51.42s,+43d30m33.7s,71.0,729.000,890.667,189.207,4.71,-7.374,0.231,16.322,0.257,1.1095
Auto_1618,3021.56,3193.39,3021.58,3193.49,144.61859,43.69048,09h38m28.46s,+43d41m25.7s,61.0,729.000,1030.706,188.218,5.48,-7.533,0.198,16.164,0.228,1.1095
Auto_1619,3357.06,2011.49,3357.16,2011.53,144.43353,44.14336,09h37m44.05s,+44d08m36.1s,60.0,729.000,949.828,188.206,5.05,-7.444,0.215,16.252,0.243,1.1095
Auto_1620,356.82,589.05,356.80,589.04,142.67741,43.97553,09h30m42.58s,+43d58m31.9s,92.0,726.000,1039.728,188.174,5.53,-7.542,0.196,16.154,0.226,1.1095
Auto_1621,5767.88,2525.55,5767.82,2525.57,145.67588,44.46429,09h42m42.21s,+44d27m51.4s,57.0,725.000,808.059,189.711,4.26,-7.269,0.255,16.428,0.279,1.1095
Auto_1622,5801.62,79.10,5801.68,79.03,144.99503,45.26797,09h39m58.81s,+45d16m04.7s,66.0,724.000,889.935,189.014,4.71,-7.373,0.231,16.323,0.256,1.1095
Auto_1623,5321.90,3936.30,5321.99,3936.36,145.86475,43.91338,09h43m27.54s,+43d54m48.2s,65.0,722.000,929.638,189.684,4.90,-7.421,0.222,16.276,0.248,1.1095
Auto_1624,4144.60,3300.80,4144.70,3300.84,145.15548,43.88430,09h40m37.31s,+43d53m03.5s,60.0,721.000,818.954,189.079,4.33,-7.283,0.251,16.413,0.275,1.1095
